 0 1 2 3 4 5
1159575586 False False False False False False
1159577224 False False False False False False
1159578862 False False False False False False
1159580501 False False False False False False
1159582139 False False False False False False
1159583778 False False False False False False
1159585416 False False False False False False
1159587054 False False False False False True
1159588693 False False False False False False
1159590331 False False False False False False
1159591970 False False False False False True
1159593608 False False False False False False
1159595246 False False False False False False
1159596885 False False False False False False
1159598523 False False False False False False
1159600162 False False False False False False
1159601800 False False False False False False
1159603438 False False False False False False
1159605077 False False False False False False
1159606715 False False False False False False
1159608354 False False False False False False
1159609992 False False False False False False
1159611630 False False False False False False
1159613269 False False False False False False
1159614907 False False False False False False
1159616546 False False False False False False
1159618184 False False False False False False
1159621022 False False False False False False
1159622661 False False False False False False
1159624299 False False False False False False
1159625938 False False False False False False
1159627576 False False False False False False
1159629214 False False False False False False
1159630853 False False False False False False
1159632491 False False False False False False
1159634130 False False False False False False
1159635768 False False False False False True
1159637406 False False False False False False
1159639045 False False False False False False
1159640683 False False False False False False
1159642322 False False False False False False
1159643960 False False False False False False
1159645598 False False False False False False
1159647237 False False False False False False
1159648875 False False False False False False
1159650514 False False False False False False
1159652152 False False False False True False
1159653790 False False False False False False
1159655429 False False False False False False
1159657067 False False False False False False
1159658706 False False False False False False
1159660344 False False False False False False
1159661982 False False False False False False
1159663621 False False False False False False
1159665259 False False False False False False
1159666898 False False False False False False
1159668536 False False False False False False
1159670174 False False False False False False
1159671813 False False False False False False
1159673451 False False False False False False
1159675090 False False False False False True
1159676728 False False False False False False
1159678366 False False False False False False
1159680005 False False False False False False
1159681643 False False False False False False
1159683282 False False False False False False
